Date,CADATA.positive,CADATA.positiveCasesViral
2020-3-4,53,0
2020-3-5,53,0
2020-3-6,60,0
2020-3-7,69,0
2020-3-8,88,0
2020-3-9,114,0
2020-3-10,133,0
2020-3-11,157,0
2020-3-12,202,0
2020-3-13,202,0
2020-3-14,252,0
2020-3-15,293,0
2020-3-16,335,0
2020-3-17,483,0
2020-3-18,611,0
2020-3-19,924,0
2020-3-20,1063,0
2020-3-21,1279,0
2020-3-22,1536,0
2020-3-23,1733,0
2020-3-24,2102,0
2020-3-25,2355,0
2020-3-26,3006,0
2020-3-27,3879,0
2020-3-28,4643,0
2020-3-29,5708,0
2020-3-30,6447,0
2020-3-31,7482,0
2020-4-1,8155,0
2020-4-2,9191,0
2020-4-3,10701,0
2020-4-4,12026,0
2020-4-5,13438,0
2020-4-6,14336,0
2020-4-7,15865,0
2020-4-8,16957,0
2020-4-9,18309,0
2020-4-10,19472,0
2020-4-11,20615,0
2020-4-12,21794,0
2020-4-13,22348,0
2020-4-14,23338,0
2020-4-15,24424,0
2020-4-16,26182,0
2020-4-17,27528,0
2020-4-18,28963,0
2020-4-19,30333,0
2020-4-20,30978,0
2020-4-21,33261,0
2020-4-22,35396,0
2020-4-23,37369,0
2020-4-24,39254,0
2020-4-25,41137,0
2020-4-26,42164,0
2020-4-27,43464,0
2020-4-28,45031,0
2020-4-29,46500,46500
2020-4-30,48917,48917
2020-5-1,50442,50442
2020-5-2,52197,52197
2020-5-3,53616,53616
2020-5-4,54937,54937
2020-5-5,56212,56212
2020-5-6,58815,58815
2020-5-7,60614,60614
2020-5-8,62512,62512
2020-5-9,64561,64561
2020-5-10,66680,66680
2020-5-11,67939,67939
2020-5-12,69382,69382
2020-5-13,71141,71141
2020-5-14,73164,73164
2020-5-15,74936,74936
2020-5-16,76793,76793
2020-5-17,78839,78839
2020-5-18,80430,80430
2020-5-19,81795,81795
2020-5-20,84057,84057
2020-5-21,86197,86197
2020-5-22,88444,88444
2020-5-23,90631,90631
2020-5-24,92710,92710
2020-5-25,94558,94558
2020-5-26,96733,96733
2020-5-27,98980,98980
2020-5-28,101697,101697
2020-5-29,103886,103886
2020-5-30,106878,106878
2020-5-31,110583,110583
2020-6-1,113006,113006
2020-6-2,115310,115310
2020-6-3,117687,117687
2020-6-4,119807,119807
2020-6-5,122901,122901
2020-6-6,126016,126016
2020-6-7,128812,128812
2020-6-8,131319,131319
2020-6-9,133489,133489
2020-6-10,136191,136191
2020-6-11,139281,139281
2020-6-12,141983,141983
2020-6-13,145643,145643
2020-6-14,148855,148855
2020-6-15,151452,151452
2020-6-16,153560,153560
2020-6-17,157015,157015
2020-6-18,161099,161099
2020-6-19,165416,165416
2020-6-20,169309,169309
2020-6-21,173824,173824
2020-6-22,178054,178054
2020-6-23,183073,183073
2020-6-24,190222,190222
2020-6-25,195571,195571
2020-6-26,200461,200461
2020-6-27,206433,206433
2020-6-28,211243,211243
2020-6-29,219252,219252
2020-6-30,228732,228732
2020-7-1,236139,236139
2020-7-2,242547,242547
2020-7-3,248235,248235
2020-7-4,257388,257388
2020-7-5,265985,265985
2020-7-6,271684,271684
2020-7-7,277774,277774
2020-7-8,289468,289468
2020-7-9,296499,296499
2020-7-10,304297,304297
2020-7-11,312344,312344
2020-7-12,320804,320804
2020-7-13,329162,329162
2020-7-14,336508,336508
2020-7-15,347634,347634
2020-7-16,356178,356178
2020-7-17,366164,366164
2020-7-18,375363,375363
2020-7-19,384692,384692
2020-7-20,391538,391538
2020-7-21,400769,400769
2020-7-22,413576,413576
2020-7-23,425616,425616
2020-7-24,435334,435334
2020-7-25,445400,445400
2020-7-26,453659,453659
2020-7-27,460550,460550
2020-7-28,466550,466550
2020-7-29,475305,475305
2020-7-30,485502,485502
2020-7-31,493588,493588
2020-8-1,500130,500130
2020-8-2,509162,509162
2020-8-3,514901,514901
2020-8-4,519427,519427
2020-8-5,524722,524722
2020-8-6,529980,529980
2020-8-7,538416,538416
2020-8-8,545787,545787
2020-8-9,554160,554160
2020-8-10,561911,561911
2020-8-11,574411,574411
2020-8-12,586056,586056
2020-8-13,593141,593141
2020-8-14,601075,601075
2020-8-15,613689,613689
2020-8-16,621562,621562
2020-8-17,628031,628031
2020-8-18,632667,632667
2020-8-19,638831,638831
2020-8-20,644751,644751
2020-8-21,650336,650336
2020-8-22,656892,656892
2020-8-23,663669,663669
2020-8-24,668615,668615
2020-8-25,673095,673095
2020-8-26,679099,679099
2020-8-27,683529,683529
2020-8-28,688858,688858
2020-8-29,693839,693839
2020-8-30,699909,699909
2020-8-31,704085,704085
2020-9-1,707797,707797
2020-9-2,712052,712052
2020-9-3,717177,717177
2020-9-4,722283,722283
2020-9-5,727239,727239
2020-9-6,732144,732144
2020-9-7,735235,735235
2020-9-8,737911,737911
2020-9-9,739527,739527
2020-9-10,742865,742865
2020-9-11,746191,746191
2020-9-12,750298,750298
2020-9-13,754923,754923
2020-9-14,757778,757778
2020-9-15,760013,760013
2020-9-16,762963,762963
2020-9-17,766201,766201
2020-9-18,769831,769831
2020-9-19,774135,774135
2020-9-20,778400,778400
2020-9-21,781694,781694
2020-9-22,784324,784324
2020-9-23,787470,787470
2020-9-24,790640,790640
2020-9-25,794040,794040
2020-9-26,798237,798237
2020-9-27,802308,802308
2020-9-28,805263,805263
2020-9-29,807425,807425
2020-9-30,810625,810625
2020-10-1,813687,813687
2020-10-2,817277,817277
2020-10-3,819436,819436
2020-10-4,823729,823729
2020-10-5,826784,826784
2020-10-6,828461,828461
2020-10-7,831225,831225
2020-10-8,834800,834800
2020-10-9,838606,838606
2020-10-10,842776,842776
2020-10-11,846579,846579
2020-10-12,850028,850028
2020-10-13,852406,852406
2020-10-14,855072,855072
2020-10-15,858401,858401
2020-10-16,861476,861476
2020-10-17,864455,864455
2020-10-18,867317,867317
2020-10-19,870791,870791
2020-10-20,874077,874077
2020-10-21,877784,877784
2020-10-22,880724,880724
2020-10-23,886865,886865
2020-10-24,892810,892810
2020-10-25,898029,898029
2020-10-26,901010,901010
2020-10-27,904198,904198
2020-10-28,908713,908713
2020-10-29,912904,912904
2020-10-30,916918,916918
2020-10-31,922005,922005
2020-11-1,926534,926534
2020-11-2,930628,930628
2020-11-3,934672,934672
2020-11-4,940010,940010
2020-11-5,944576,944576
2020-11-6,951094,951094
2020-11-7,956957,956957
2020-11-8,964639,964639
2020-11-9,971851,971851
2020-11-10,977218,977218
2020-11-11,984682,984682
2020-11-12,991609,991609
2020-11-13,998502,998502
2020-11-14,1008377,1008377
2020-11-15,1019345,1019345
2020-11-16,1029235,1029235
2020-11-17,1037978,1037978
2020-11-18,1047789,1047789
2020-11-19,1059267,1059267
2020-11-20,1072272,1072272
2020-11-21,1087714,1087714
2020-11-22,1102033,1102033
2020-11-23,1110370,1110370
2020-11-24,1125699,1125699
2020-11-25,1144049,1144049
2020-11-26,1158689,1158689
2020-11-27,1171324,1171324
2020-11-28,1183320,1183320
2020-11-29,1198934,1198934
2020-11-30,1212968,1212968
2020-12-1,1225189,1225189
2020-12-2,1245948,1245948
2020-12-3,1264539,1264539
2020-12-4,1286557,1286557
2020-12-5,1311625,1311625
2020-12-6,1341700,1341700
2020-12-7,1366435,1366435
2020-12-8,1389707,1389707
2020-12-9,1420558,1420558
2020-12-10,1450235,1450235
2020-12-11,1485703,1485703
2020-12-12,1521432,1521432
2020-12-13,1551766,1551766
2020-12-14,1585044,1585044
2020-12-15,1617370,1617370
2020-12-16,1671081,1671081
2020-12-17,1723362,1723362
2020-12-18,1764374,1764374
2020-12-19,1807982,1807982
2020-12-20,1854456,1854456
2020-12-21,1892348,1892348
2020-12-22,1925007,1925007
2020-12-23,1964076,1964076
2020-12-24,2003146,2003146
2020-12-25,2042290,2042290
2020-12-26,2072665,2072665
2020-12-27,2122806,2122806
2020-12-28,2155976,2155976
2020-12-29,2187221,2187221
2020-12-30,2218142,2218142
2020-12-31,2245379,2245379
2021-1-1,2292568,2292568
2021-1-2,2345909,2345909
2021-1-3,2391261,2391261
2021-1-4,2420894,2420894
2021-1-5,2452334,2452334
2021-1-6,2482226,2482226
2021-1-7,2518611,2518611
2021-1-8,2568641,2568641
2021-1-9,2621277,2621277
2021-1-10,2670962,2670962
2021-1-11,2710801,2710801
2021-1-12,2747288,2747288
2021-1-13,2781039,2781039
2021-1-14,2816969,2816969
2021-1-15,2859624,2859624
2021-1-16,2900246,2900246
2021-1-17,2942475,2942475
2021-1-18,2973174,2973174
2021-1-19,2996968,2996968
2021-1-20,3019371,3019371
2021-1-21,3039044,3039044
2021-1-22,3062068,3062068
2021-1-23,3085040,3085040
2021-1-24,3109151,3109151
2021-1-25,3136158,3136158
2021-1-26,3153186,3153186
2021-1-27,3169914,3169914
2021-1-28,3186610,3186610
2021-1-29,3205947,3205947
2021-1-30,3224374,3224374
2021-1-31,3243348,3243348
2021-2-1,3258706,3258706
2021-2-2,3270770,3270770
2021-2-3,3281271,3281271
2021-2-4,3294447,3294447
2021-2-5,3308468,3308468
2021-2-6,3320862,3320862
2021-2-7,3335926,3335926
2021-2-8,3346340,3346340
2021-2-9,3354591,3354591
2021-2-10,3362981,3362981
2021-2-11,3371556,3371556
2021-2-12,3381615,3381615
2021-2-13,3391036,3391036
2021-2-14,3399878,3399878
2021-2-15,3406365,3406365
2021-2-16,3412057,3412057
2021-2-17,3416147,3416147
2021-2-18,3421720,3421720
2021-2-19,3428518,3428518
2021-2-20,3435186,3435186
2021-2-21,3441946,3441946
2021-2-22,3446611,3446611
2021-2-23,3450058,3450058
2021-2-24,3455361,3455361
2021-2-25,3460326,3460326
2021-2-26,3465726,3465726
2021-2-27,3470877,3470877
2021-2-28,3475562,3475562
2021-3-1,3479078,3479078
2021-3-2,3481611,3481611
2021-3-3,3484963,3484963
2021-3-4,3488467,3488467
2021-3-5,3493126,3493126
2021-3-6,3497578,3497578
2021-3-7,3501394,3501394
